Name,Length,Starts with Vowel,Starts with Consonant,Has Double Letters,Is Palindrome,Common First Letter,Number of Vowels,Number of Consonants,Second Alphabet is Vowel,OutPut
Amira,5,Yes,No,No,No,Yes,3,2,No,0
Kawkab,6,No,Yes,No,No,No,2,4,Yes,1
Faheem,6,No,Yes,Yes,No,No,3,3,Yes,1
Faisal,6,No,Yes,No,No,No,3,3,Yes,1
Adam,4,Yes,No,No,No,Yes,2,2,No,0
Omar,4,Yes,No,No,No,No,2,2,No,0
Layla,5,No,Yes,No,No,No,2,3,Yes,1
Dawud,5,No,Yes,No,No,No,2,3,Yes,1
Bashir,6,No,Yes,No,No,No,2,4,Yes,1
Afeefah,7,Yes,No,Yes,No,Yes,4,3,No,0
Asim,4,Yes,No,No,No,Yes,2,2,No,0
Ismail,6,Yes,No,No,No,No,3,3,No,0
Hussein,7,No,Yes,Yes,No,No,3,4,Yes,1
Bushra,6,No,Yes,No,No,No,2,4,Yes,1
Nida,4,No,Yes,No,No,No,2,2,Yes,1
Iman,4,Yes,No,No,No,No,2,2,No,0
Hala,4,No,Yes,No,No,No,2,2,Yes,1
Naeema,6,No,Yes,Yes,No,No,4,2,Yes,1
Fareed,6,No,Yes,Yes,No,No,3,3,Yes,1
Shakir,6,No,Yes,No,No,Yes,2,4,No,0
Ghaliya,7,No,Yes,No,No,No,3,4,No,0
BadrUddin,9,No,Yes,Yes,No,No,3,6,Yes,1
Aneesa,6,Yes,No,Yes,No,Yes,4,2,No,0
Sharifa,7,No,Yes,No,No,Yes,3,4,No,0
Aakifa,6,Yes,No,No,No,Yes,4,2,Yes,1
Ubaid,5,Yes,No,No,No,No,3,2,No,0
Husna,5,No,Yes,No,No,No,2,3,Yes,1
Arif,4,Yes,No,No,No,Yes,2,2,No,0
Safa,4,No,Yes,No,No,Yes,2,2,Yes,1
Faris,5,No,Yes,No,No,No,2,3,Yes,1
Aamir,5,Yes,No,No,No,Yes,3,2,Yes,1
Farida,6,No,Yes,No,No,No,3,3,Yes,1
Shahid,6,No,Yes,No,No,Yes,2,4,No,0
Huda,4,No,Yes,No,No,No,2,2,Yes,1
Mujtaba,7,No,Yes,No,No,No,3,4,Yes,1
Eisa,4,Yes,No,No,No,No,3,1,Yes,1
Nadia,5,No,Yes,No,No,No,3,2,Yes,1
Afra,4,Yes,No,No,No,Yes,2,2,No,0
Sharif,6,No,Yes,No,No,Yes,2,4,No,0
Aziza,5,Yes,No,No,Yes,Yes,3,2,No,0
Umair,5,Yes,No,No,No,No,3,2,No,0
Ahmad,5,Yes,No,No,No,Yes,2,3,No,0
Irfan,5,Yes,No,No,No,No,2,3,No,0
Shuaib,6,No,Yes,No,No,Yes,3,3,No,0
Amal,4,Yes,No,No,No,Yes,2,2,No,0
Murad,5,No,Yes,No,No,No,2,3,Yes,1
Furqan,6,No,Yes,No,No,No,2,4,Yes,1
Abida,5,Yes,No,No,No,Yes,3,2,No,0
Muneeb,6,No,Yes,Yes,No,No,3,3,Yes,1
Khadijah,8,No,Yes,No,No,No,3,5,No,0
Abeer,5,Yes,No,Yes,No,Yes,3,2,No,0
Areej,5,Yes,No,Yes,No,Yes,3,2,No,0
Habib,5,No,Yes,No,No,No,2,3,Yes,1
Urwa,4,Yes,No,No,No,No,2,2,No,0
Aida,4,Yes,No,No,No,Yes,3,1,Yes,1
Afia,4,Yes,No,No,No,Yes,3,1,No,0
Adeeb,5,Yes,No,Yes,No,Yes,3,2,No,0
Noor,4,No,Yes,Yes,No,No,2,2,Yes,1
Iffat,5,Yes,No,Yes,No,No,2,3,No,0
Nafisa,6,No,Yes,No,No,No,3,3,Yes,1
Farhan,6,No,Yes,No,No,No,2,4,Yes,1
Aatika,6,Yes,No,No,No,Yes,4,2,Yes,1
Burhan,6,No,Yes,No,No,No,2,4,Yes,1
Maleeha,7,No,Yes,Yes,No,No,4,3,Yes,1
Munira,6,No,Yes,No,No,No,3,3,Yes,1
Zeenat,6,No,Yes,Yes,No,No,3,3,Yes,1
Maymouna,8,No,Yes,No,No,No,4,4,Yes,1
Saadiya,7,No,Yes,Yes,No,Yes,4,3,Yes,1
Inaya,5,Yes,No,No,No,No,3,2,No,0
Firdous,7,No,Yes,No,No,No,3,4,Yes,1
Khalida,7,No,Yes,No,No,No,3,4,No,0
Luqman,6,No,Yes,No,No,No,2,4,Yes,1
Almas,5,Yes,No,No,No,Yes,2,3,No,0
Qamar,5,No,Yes,No,No,No,2,3,Yes,1
Abeer,5,Yes,No,Yes,No,Yes,3,2,No,0
Uqbah,5,Yes,No,No,No,No,2,3,No,0
Falak,5,No,Yes,No,No,No,2,3,Yes,1
AbdulAlim,9,Yes,No,No,No,Yes,4,5,No,0
Arshad,6,Yes,No,No,No,Yes,2,4,No,0
Azra,4,Yes,No,No,No,Yes,2,2,No,0
Amjad,5,Yes,No,No,No,Yes,2,3,No,0
Khawlah,7,No,Yes,No,No,No,2,5,No,0
Akram,5,Yes,No,No,No,Yes,2,3,No,0
Hadiyya,7,No,Yes,Yes,No,No,3,4,Yes,1
Asiyah,6,Yes,No,No,No,Yes,3,3,No,0
Hashim,6,No,Yes,No,No,No,2,4,Yes,1
Jamila,6,No,Yes,No,No,Yes,3,3,Yes,1
Ajmal,5,Yes,No,No,No,Yes,2,3,No,0
Anas,4,Yes,No,No,No,Yes,2,2,No,0
Adeela,6,Yes,No,Yes,No,Yes,4,2,No,0
Aqeel,5,Yes,No,Yes,No,Yes,3,2,No,0
Raniya,6,No,Yes,No,No,No,3,3,Yes,1
Munir,5,No,Yes,No,No,No,2,3,Yes,1
Maha,4,No,Yes,No,No,No,2,2,Yes,1
Imran,5,Yes,No,No,No,No,2,3,No,0
Asma,4,Yes,No,No,No,Yes,2,2,No,0
Hamza,5,No,Yes,No,No,No,2,3,Yes,1
Bilal,5,No,Yes,No,No,No,2,3,Yes,1
Anees,5,Yes,No,Yes,No,Yes,3,2,No,0
Amina,5,Yes,No,No,No,Yes,3,2,No,0
