Name,Length,Starts with Vowel,Starts with Consonant,Has Double Letters,Is Palindrome,Common First Letter,Number of Vowels,Number of Consonants,Second Alphabet is Vowel
Amira,5,Yes,No,No,No,Yes,3,2,No
Kawkab,6,No,Yes,No,No,No,2,4,Yes
Faheem,6,No,Yes,Yes,No,No,3,3,Yes
Faisal,6,No,Yes,No,No,No,3,3,Yes
Adam,4,Yes,No,No,No,Yes,2,2,No
Omar,4,Yes,No,No,No,No,2,2,No
Layla,5,No,Yes,No,No,No,2,3,Yes
Dawud,5,No,Yes,No,No,No,2,3,Yes
Bashir,6,No,Yes,No,No,No,2,4,Yes
Afeefah,7,Yes,No,Yes,No,Yes,4,3,No
Asim,4,Yes,No,No,No,Yes,2,2,No
Ismail,6,Yes,No,No,No,No,3,3,No
Hussein,7,No,Yes,Yes,No,No,3,4,Yes
Bushra,6,No,Yes,No,No,No,2,4,Yes
Nida,4,No,Yes,No,No,No,2,2,Yes
Iman,4,Yes,No,No,No,No,2,2,No
Hala,4,No,Yes,No,No,No,2,2,Yes
Naeema,6,No,Yes,Yes,No,No,4,2,Yes
Fareed,6,No,Yes,Yes,No,No,3,3,Yes
Shakir,6,No,Yes,No,No,Yes,2,4,No
Ghaliya,7,No,Yes,No,No,No,3,4,No
BadrUddin,9,No,Yes,Yes,No,No,3,6,Yes
Aneesa,6,Yes,No,Yes,No,Yes,4,2,No
Sharifa,7,No,Yes,No,No,Yes,3,4,No
Aakifa,6,Yes,No,No,No,Yes,4,2,Yes
Ubaid,5,Yes,No,No,No,No,3,2,No
Husna,5,No,Yes,No,No,No,2,3,Yes
Arif,4,Yes,No,No,No,Yes,2,2,No
Safa,4,No,Yes,No,No,Yes,2,2,Yes
Faris,5,No,Yes,No,No,No,2,3,Yes
Aamir,5,Yes,No,No,No,Yes,3,2,Yes
Farida,6,No,Yes,No,No,No,3,3,Yes
Shahid,6,No,Yes,No,No,Yes,2,4,No
Huda,4,No,Yes,No,No,No,2,2,Yes
Mujtaba,7,No,Yes,No,No,No,3,4,Yes
Eisa,4,Yes,No,No,No,No,3,1,Yes
Nadia,5,No,Yes,No,No,No,3,2,Yes
Afra,4,Yes,No,No,No,Yes,2,2,No
Sharif,6,No,Yes,No,No,Yes,2,4,No
Aziza,5,Yes,No,No,Yes,Yes,3,2,No
Umair,5,Yes,No,No,No,No,3,2,No
Ahmad,5,Yes,No,No,No,Yes,2,3,No
Irfan,5,Yes,No,No,No,No,2,3,No
Shuaib,6,No,Yes,No,No,Yes,3,3,No
Amal,4,Yes,No,No,No,Yes,2,2,No
Murad,5,No,Yes,No,No,No,2,3,Yes
Furqan,6,No,Yes,No,No,No,2,4,Yes
Abida,5,Yes,No,No,No,Yes,3,2,No
Muneeb,6,No,Yes,Yes,No,No,3,3,Yes
Khadijah,8,No,Yes,No,No,No,3,5,No
Abeer,5,Yes,No,Yes,No,Yes,3,2,No
Areej,5,Yes,No,Yes,No,Yes,3,2,No
Habib,5,No,Yes,No,No,No,2,3,Yes
Urwa,4,Yes,No,No,No,No,2,2,No
Aida,4,Yes,No,No,No,Yes,3,1,Yes
Afia,4,Yes,No,No,No,Yes,3,1,No
Adeeb,5,Yes,No,Yes,No,Yes,3,2,No
Noor,4,No,Yes,Yes,No,No,2,2,Yes
Iffat,5,Yes,No,Yes,No,No,2,3,No
Nafisa,6,No,Yes,No,No,No,3,3,Yes
Farhan,6,No,Yes,No,No,No,2,4,Yes
Aatika,6,Yes,No,No,No,Yes,4,2,Yes
Burhan,6,No,Yes,No,No,No,2,4,Yes
Maleeha,7,No,Yes,Yes,No,No,4,3,Yes
Munira,6,No,Yes,No,No,No,3,3,Yes
Zeenat,6,No,Yes,Yes,No,No,3,3,Yes
Maymouna,8,No,Yes,No,No,No,4,4,Yes
Saadiya,7,No,Yes,Yes,No,Yes,4,3,Yes
Inaya,5,Yes,No,No,No,No,3,2,No
Firdous,7,No,Yes,No,No,No,3,4,Yes
Khalida,7,No,Yes,No,No,No,3,4,No
Luqman,6,No,Yes,No,No,No,2,4,Yes
Almas,5,Yes,No,No,No,Yes,2,3,No
Qamar,5,No,Yes,No,No,No,2,3,Yes
Abeer,5,Yes,No,Yes,No,Yes,3,2,No
Uqbah,5,Yes,No,No,No,No,2,3,No
Falak,5,No,Yes,No,No,No,2,3,Yes
AbdulAlim,9,Yes,No,No,No,Yes,4,5,No
Arshad,6,Yes,No,No,No,Yes,2,4,No
Azra,4,Yes,No,No,No,Yes,2,2,No
Amjad,5,Yes,No,No,No,Yes,2,3,No
Khawlah,7,No,Yes,No,No,No,2,5,No
Akram,5,Yes,No,No,No,Yes,2,3,No
Hadiyya,7,No,Yes,Yes,No,No,3,4,Yes
Asiyah,6,Yes,No,No,No,Yes,3,3,No
Hashim,6,No,Yes,No,No,No,2,4,Yes
Jamila,6,No,Yes,No,No,Yes,3,3,Yes
Ajmal,5,Yes,No,No,No,Yes,2,3,No
Anas,4,Yes,No,No,No,Yes,2,2,No
Adeela,6,Yes,No,Yes,No,Yes,4,2,No
Aqeel,5,Yes,No,Yes,No,Yes,3,2,No
Raniya,6,No,Yes,No,No,No,3,3,Yes
Munir,5,No,Yes,No,No,No,2,3,Yes
Maha,4,No,Yes,No,No,No,2,2,Yes
Imran,5,Yes,No,No,No,No,2,3,No
Asma,4,Yes,No,No,No,Yes,2,2,No
Hamza,5,No,Yes,No,No,No,2,3,Yes
Bilal,5,No,Yes,No,No,No,2,3,Yes
Anees,5,Yes,No,Yes,No,Yes,3,2,No
Amina,5,Yes,No,No,No,Yes,3,2,No
